accx,accy,accz,gyrx,gyry,gyrz,anglex,angley,anglez,magx,magy,magz
-0.1030000000,0.0250000000,-1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1031489588,3.1168089782,2.3160519174,-419,211,237
-0.1030000000,0.0250000000,-1.0000000000,0.0000000000,0.0000000000,-0.0017453293,0.1031489588,3.1168089782,2.3160519174,-422,211,237
-0.1030000000,0.0250000000,-0.9990000000,0.0017453293,0.0017453293,0.0000000000,0.1031489588,3.1168089782,2.3160519174,-424,211,237
-0.1030000000,0.0250000000,-0.9990000000,0.0017453293,0.0000000000,-0.0034906585,0.1031489588,3.1166344453,2.3160519174,-419,212,235
-0.1030000000,0.0240000000,-0.9990000000,0.0000000000,0.0000000000,0.0000000000,0.1031489588,3.1166344453,2.3160519174,-420,209,236
-0.1030000000,0.0240000000,-0.9990000000,0.0000000000,0.0034906585,0.0000000000,0.1031489588,3.1166344453,2.3160519174,-417,212,240
-0.1040000000,0.0240000000,-0.9990000000,0.0000000000,-0.0034906585,0.0017453293,0.1031489588,3.1166344453,2.3160519174,-419,208,237
-0.1030000000,0.0250000000,-1.0000000000,0.0000000000,0.0000000000,-0.0017453293,0.1031489588,3.1168089782,2.3160519174,-421,209,238
-0.1030000000,0.0250000000,-0.9990000000,0.0000000000,0.0000000000,0.0000000000,0.1031489588,3.1168089782,2.3160519174,-422,211,239
-0.1020000000,0.0250000000,-0.9990000000,0.0000000000,0.0000000000,0.0000000000,0.1031489588,3.1168089782,2.3160519174,-421,212,236
-0.1020000000,0.0250000000,-0.9990000000,0.0000000000,0.0000000000,0.0000000000,0.1031489588,3.1168089782,2.3160519174,-423,213,238
-0.1030000000,0.0240000000,-1.0000000000,0.0000000000,-0.0017453293,-0.0017453293,0.1031489588,3.1166344453,2.3160519174,-422,212,238
-0.1030000000,0.0240000000,-1.0000000000,0.0017453293,0.0000000000,0.0000000000,0.1031489588,3.1166344453,2.3160519174,-423,211,236
-0.1040000000,0.0250000000,-1.0000000000,0.0000000000,0.0000000000,0.0017453293,0.1031489588,3.1166344453,2.3160519174,-421,211,241
-0.1040000000,0.0250000000,-0.9990000000,0.0000000000,0.0000000000,0.0000000000,0.1031489588,3.1166344453,2.3160519174,-420,208,237
-0.1030000000,0.0250000000,-0.9990000000,0.0000000000,0.0000000000,0.0000000000,0.1031489588,3.1166344453,2.3160519174,-425,213,240
-0.1020000000,0.0250000000,-0.9990000000,0.0000000000,0.0017453293,0.0000000000,0.1031489588,3.1166344453,2.3160519174,-419,213,240
-0.1020000000,0.0240000000,-0.9990000000,0.0000000000,0.0017453293,0.0000000000,0.1031489588,3.1166344453,2.3160519174,-422,209,243
-0.1020000000,0.0240000000,-1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1031489588,3.1166344453,2.3160519174,-419,212,237
